Gene	Haploinsufficiency_Score	Triplosensitivity_Score	Haploinsufficiency_Description	Triplosensitivity_Description	Haploinsufficiency_DiseaseID	Triplosensitivity_DiseaseID
GAMT	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012999	NA
STIL	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012989	NA
EPB42	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012985	NA
ABHD12	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012984	NA
RSPH4A	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012978	NA
CDH15	0	0	No evidence available	No evidence available	MONDO:0012946	NA
G6PC3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012930	NA
CNTN1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012929	NA
RPS17	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0012924	NA
GNAS	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0012912	NA
DNAI2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012906	NA
PLOD3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012892	NA
TSEN2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012890	NA
ZBTB18	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0012869	NA
FA2H	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012866	NA
CD59	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012858	NA
KCNK9	0	0	No evidence available	No evidence available	MONDO:0012856	NA
STXBP1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0012812	NA
SLC2A1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0012805	NA
SLC16A12	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0012786	NA
RNF168	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012764	NA
DNAH11	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012748	NA
ALDOA	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012747	NA
RARS2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012683	NA
SPRED1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0012669	NA
PIP5K1C	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012656	NA
KIF1C	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012651	NA
COG1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012637	NA
COG8	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012635	NA
DARS2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012622	NA
GRIK2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012614	NA
MFRP	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012605	NA
RAX	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012604	NA
RDX	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012602	NA
TCF4	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0012589	NA
MFSD8	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012588	NA
P3H1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012581	NA
CSF2RA	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012580	NA
GLI2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0012563	NA
ERCC1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012554	NA
CDKN1B	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0012552	NA
FGF3	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012541	NA
CFL2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012538	NA
CRTAP	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012536	NA
TUFM	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012534	NA
ERCC3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012531	NA
RPS24	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0012529	NA
PRCD	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012523	NA
EFTUD2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0012516	NA
SAMD9	0	Not yet evaluated	No evidence available	Not yet evaluated	MONDO:0012502	NA
KANSL1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0012496	NA
CABP4	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012490	NA
KCNV2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012475	NA
RNASEH2A	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012472	NA
CLCF1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012467	NA
NOTCH2	0	0	No evidence available	No evidence available	MONDO:0012439	NA
GLIS3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012436	NA
TGFBR2	0	0	No evidence available	No evidence available	MONDO:0012427	NA
MARVELD2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012420	NA
OTX2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0012413	NA
FYCO1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012395	NA
GLUL	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012393	NA
ACADSB	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012392	NA
TRIOBP	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012355	NA
LFNG	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012349	NA
TGM5	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012345	NA
LPIN2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012316	NA
ALX4	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0012309	NA
SNAP29	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012290	NA
KIFBP	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012280	NA
DDHD1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012256	NA
SMARCB1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0012252	NA
FGD4	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012250	NA
MLPH	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012220	NA
PLOD2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012217	NA
SLC38A8	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012216	NA
GFM1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012191	NA
CDK4	0	0	No evidence available	No evidence available	MONDO:0012183	NA
ESPN	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012170	NA
CD8A	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012161	NA
PCYT1A	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012160	NA
GALNT12	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0012132	NA
DPM1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012123	NA
PDP1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012120	NA
COG7	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012118	NA
DNAH5	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012085	NA
AXIN2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0012075	NA
AGPAT2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012071	NA
ALG1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012052	NA
MUTYH	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0012041	NA
CD36	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012031	NA
CENPJ	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012029	NA
HGF	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0012003	NA
ARFGEF2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011966	NA
BMPER	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011946	NA
ACP5	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011939	NA
GATA4	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0011938	NA
BMP4	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0011936	NA
DSG4	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011932	NA
HSD3B7	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011906	NA
IRAK4	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011888	NA
RAB27A	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011872	NA
COQ2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011829	NA
CLCNKB	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011822	NA
SALL4	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0011812	NA
SPG7	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011803	NA
TDP1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011801	NA
SMARCE1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0011789	NA
ALG12	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011783	NA
MYO3A	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011774	NA
B4GALT1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011772	NA
WHRN	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011767	NA
OTOA	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011762	NA
NPHP4	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011756	NA
USH1G	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011748	NA
SLC5A1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011731	NA
RBBP8	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011715	NA
ATP13A2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011706	NA
LIG4	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011686	NA
IL2RA	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011664	NA
PARK7	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011658	NA
SHANK3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0011652	NA
FAM161A	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011630	NA
PCCA	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011628	NA
PINK1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011613	NA
GCSH	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011612	NA
GLDC	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011612	NA
SLC25A13	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011601	NA
TNNT1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011539	NA
CHSY1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011533	NA
AICDA	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011528	NA
KMT2A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0011518	NA
CYLD	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0011512	NA
ASXL1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0011510	NA
H6PD	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011503	NA
COL11A1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0011493	NA
CDK5RAP2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011488	NA
CYP4F22	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011485	NA
PAX9	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0011477	NA
SBF2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011475	NA
LCA5	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011473	NA
TMEM43	0	0	No evidence available	No evidence available	MONDO:0011459	NA
IGHMBP2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011436	NA
WDR62	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011435	NA
CP	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011426	NA
ATPAF2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011421	NA
TFR2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011417	NA
SPATA7	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011415	NA
GPSM2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011411	NA
USB1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011405	NA
CTDP1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011402	NA
HBA1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011399	NA
HBA2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011399	NA
PCSK9	40	0	Dosage sensitivity unlikely	No evidence available	MONDO:0011369	NA
KAT6B	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0011365	NA
STRC	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011364	NA
TECTA	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011351	NA
RAG2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011338	NA
STX11	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011336	NA
FANCF	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011325	NA
ALG6	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011291	NA
TYMP	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011283	NA
COLQ	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011281	NA
EYS	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011272	NA
ATP6V0A4	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011268	NA
CHKB	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011246	NA
BSND	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011242	NA
FOXC1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0011233	NA
POU4F3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0011226	NA
DCLRE1C	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011225	NA
ST14	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011218	NA
HJV	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011216	NA
PCDH15	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011186	NA
POMP	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011169	NA
GIPC3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011160	NA
FASLG	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011158	NA
ABCB11	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0011156	NA
LRP5	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0011151	NA
SH3TC2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011113	NA
ASPH	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011106	NA
NDRG1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011085	NA
MTMR2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011066	NA
SMARCA2	0	0	No evidence available	No evidence available	MONDO:0011053	NA
EYA4	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0011031	NA
ATCAY	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0011025	NA
TMPRSS3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0010987	NA
OTOF	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0010986	NA
ATP2A1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0010977	NA
SCARF2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0010959	NA
FANCE	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0010953	NA
ABCB4	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010939	NA
ERF	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010929	NA
LGI1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010898	NA
HNF1A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010894	NA
HDAC4	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0010886	NA
ACVRL1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010880	NA
MYO15A	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0010860	NA
ARL6	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0010832	NA
CLN8	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0010830	NA
RAB3GAP1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0010822	NA
PRKN	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0010820	NA
GATA6	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010802	NA
ZC4H2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010758	NA
TRAPPC2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010737	NA
RS1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010725	NA
RP2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010723	NA
OTC	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010703	NA
OFD1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010702	NA
FRMD7	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010693	NA
NDP	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010691	NA
NYX	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010690	NA
MTM1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010683	NA
DMD	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010679	NA
IDS	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010674	NA
SMS	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010664	NA
AFF2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010659	NA
PQBP1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010653	NA
ATP7A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010651	NA
CHRDL1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010649	NA
OCRL	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010645	NA
ANOS1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010635	NA
IKBKG	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010631	NA
CD40LG	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010626	NA
STS	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010622	NA
NSDHL	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010621	NA
PHEX	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010619	NA
GK	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010613	NA
L1CAM	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010611	NA
ZIC3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010607	NA
F9	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010604	NA
F8	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010602	NA
CYBB	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010600	NA
PORCN	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010592	NA
FGD1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010589	NA
EDA	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010585	NA
AVPR2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010581	NA
TIMM8A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010578	NA
AP1S2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010574	NA
EFNB1	3	1	Sufficient evidence for dosage pathogenicity	Little evidence for dosage pathogenicity	MONDO:0010570	NA
RPS6KA3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010561	NA
TBX22	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010560	NA
CHM	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010557	NA
NHS	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010545	NA
PHF6	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010537	NA
GLA	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010526	NA
COL4A5	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010520	NA
ATRX	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010519	NA
DDX3X	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010497	NA
NEXMIF	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010483	NA
SLC35A2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010478	NA
WDR45	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010476	NA
HDAC8	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010471	NA
KDM6A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010465	NA
UBE2A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010461	NA
MAGT1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010455	NA
AGTR2	0	0	No evidence available	No evidence available	MONDO:0010454	NA
GDI1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0010451	NA
PTCHD1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010440	NA
ZNF711	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0010430	NA
SYP	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0010429	NA
ZDHHC9	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010427	NA
BTK	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010421	NA
CCNQ	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0010408	NA
GRIA3	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0010402	NA
UPF3B	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010398	NA
CDKL5	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010396	NA
