Phenotype	Gene
Wolff-Parkinson-White syndrome 	PRKAG2, WPWS, CMH6
Wolfram syndrome 1 	WFS1, WFRS, WFS, DFNA6, DFNA14, DFNA38, WFSL, CTRCT41
Wolfram-like syndrome, autosomal dominant 	WFS1, WFRS, WFS, DFNA6, DFNA14, DFNA38, WFSL, CTRCT41
Woodhouse-Sakati syndrome 	DCAF17, C20orf37
XFE progeroid syndrome 	ERCC4, XPF, FANCQ, XFEPS
Xeroderma pigmentosum, group F 	ERCC4, XPF, FANCQ, XFEPS
Xeroderma pigmentosum, group G 	ERCC5, XPG, COFS3
Xeroderma pigmentosum, group G/Cockayne syndrome 	ERCC5, XPG, COFS3
Xeroderma pigmentosum, type F/Cockayne syndrome 	ERCC4, XPF, FANCQ, XFEPS
Yunis-Varon syndrome 	FIG4, KIAA0274, SAC3, ALS11, YVS, BTOP
[Dystransthyretinemic hyperthyroxinemia] 	TTR, PALB
[Hex A pseudodeficiency] 	HEXA, TSD
[Hypoceruloplasminemia, hereditary] 	CP
[IMPDH2 enzyme activity, variation in] 	IMPDH2, IMPD2
[Low density lipoprotein cholesterol level QTL 3] 	HMGCR, LDLCQ3
[Sodium serum level QTL 1] 	TRPV4, VROAC, HMSN2C, CMT2C, SPSMA, SSQTL1, SMAL, BCYM3
[Statins, attenuated cholesterol lowering by] 	HMGCR, LDLCQ3
van der Woude syndrome 1 	IRF6, VWS1, LPS, PIT, PPS1, OFC6
Alzheimer disease,  due to APOE3-Christchurch 	APOE, AD2, LPG, LDLCQ5
Erythroleukemia, familial,  	ERBB3, LCCS2, FERLK, VSCN1
Macular degeneration, age-related 	APOE, AD2, LPG, LDLCQ5
Parkinson disease 5,  	UCHL1, PARK5, SPG79, NDGOA
Schizophrenia,  	NRG1, HGL, HRGA, ARIA
Amyotrophic lateral sclerosis,  13 	ATXN2, ATX2, SCA2, ASL13
Amyotrophic lateral sclerosis,  24 	NEK1, SRTD6, SRPS2A, ALS24
Amyotrophic lateral sclerosis,  25 	KIF5A, NKHC, SPG10, NEIMY, ALS25
Amyotrophic lateral sclerosis,  	DCTN1, HMN7B
Amyotrophic lateral sclerosis,  	PRPH
Anxiety-related personality traits 	SLC6A4, HTT, OCD1
Autism susceptibility, X-linked 3 	MECP2, RTT, PPMX, AUTSX3, MRXSL, MRXS13
Autism,  18 	CHD8, DUPLIN, KIAA1564, AUTS18
Bardet-Biedl syndrome 14, modifier of 	TMEM67, MKS3, JBTS6, NPHP11
Breast cancer,  	ATM, ATA, AT1
Celiac disease,  4 	MYO9B, MYR5, CELIAC4
Centronuclear myopathy, autosomal, modifier of 	MTMR14, C3orf29, HJUMPY
Coronary artery disease, severe,  	APOE, AD2, LPG, LDLCQ5
Deafness, autosomal recessive 12, modifier of 	ATP2B2, PMCA2, DFNA82
Diabetes mellitus, noninsulin-dependent, association with 	WFS1, WFRS, WFS, DFNA6, DFNA14, DFNA38, WFSL, CTRCT41
Diabetes, type 1,  	ITPR3
Dystonia-1, modifier of 	TOR1A, DYT1, AMC5
Encephalopathy, acute, infection-induced, 4,  	CPT2, IIAE4
Epilepsy idiopathic generalized,  8 	CASR, HHC1, PCAR1, FIH, EIG8, HYPOC1
Epilepsy, childhood absence,  5 	GABRB3, ECA5, DEE43
Epilepsy, idiopathic generalized,  11 	CLCN2, EGMA, ECA2, EGI11, EJM8, LKPAT, HALD2
Epilepsy, idiopathic generalized,  12 	SLC2A1, GLUT1, HTLVR, DYT18, PED, GLUT1DS, EIG12, DYT9, SDCHCN
Epilepsy, idiopathic generalized,  16 	KCNMA1, SLO, PNKD3, CADEDS, IEG16, LIWAS
Epilepsy, idiopathic generalized,  9 	CACNB4, EJM6, EA5, EIG9
Epilepsy, juvenile absence,  2 	CLCN2, EGMA, ECA2, EGI11, EJM8, LKPAT, HALD2
Epilepsy, juvenile myoclonic,  6 	CACNB4, EJM6, EA5, EIG9
Epilepsy, juvenile myoclonic,  8 	CLCN2, EGMA, ECA2, EGI11, EJM8, LKPAT, HALD2
Glaucoma, normal tension,  	OPA1, NTG, NPG, BERHS, MTDPS14
Glaucoma, normal tension,  	OPTN, GLC1E, FIP2, HYPL, NRP, ALS12
Hemorrhage, intracerebral,  	COL4A1, BSVD1, HANAC, ICH, BSVD, RATOR, PADMAL
Hirschsprung disease,  	RET, MEN2A, HSCR1
Hirschsprung disease,  1 	RET, MEN2A, HSCR1
Hirschsprung disease,  2 	EDNRB, HSCR2, ABCDS, WS4A
Hirschsprung disease,  4 	EDN3, WS4B, HSCR4
Kuru,  	PRNP, PRIP, KURU, CJD
Lung cancer,  	ERCC6, CKN2, COFS1, CSB, ARMD5, UVSS1, POF11
Macular degeneration, age-related, 11 	CST3, ARMD11
Macular degeneration, age-related, 7 	HTRA1, PRSS11, ARMD7, CARASIL, CADASIL2
Macular degeneration, age-related, neovascular type 	HTRA1, PRSS11, ARMD7, CARASIL, CADASIL2
Macular degeneration, age-related,  5 	ERCC6, CKN2, COFS1, CSB, ARMD5, UVSS1, POF11
Malignant hyperthermia susceptibility 1 	RYR1, MHS, CCO, KDS
Malignant hyperthermia susceptibility 5 	CACNA1S, CACNL1A3, CCHL1A3, TTPP1, HOKPP1, MHS5
Meningioma, familial,  	SUFU, SUFUXL, SUFUH, JBTS32
Metabolic syndrome,  	MTTP
Multiple self-healing squamous epithelioma,  	TGFBR1, ALK5, AAT5, LDS1, MSSE
Nasopharyngeal carcinoma 1 	NPC1, NPCA1
Neuroblastoma,  3 	ALK, NBLST3
Nicotine dependence,  	SLC6A3, DAT1, PKDYS1
Obsessive-compulsive disorder 	SLC6A4, HTT, OCD1
Orofacial cleft 6 	IRF6, VWS1, LPS, PIT, PPS1, OFC6
Osteofibrous dysplasia,  	MET, DFNB97, OSFD
Parkinson disease 13 	HTRA2, OMI, PARK13, PRSS25, MGCA8
Parkinson disease 17 	VPS35, MEM3, PARK17
Parkinson disease 24, autosomal dominant,  	PSAP, SAP1, PSAPD, PARK24
Parkinson disease 8 	LRRK2, PARK8
Parkinson disease, late-onset,  	ATXN2, ATX2, SCA2, ASL13
Parkinson disease,  	MAPT, MTBT1, DDPAC, MSTD
Parkinson disease,  	TBP, SCA17, HDL4
Prostate cancer,  	AR, DHTR, TFM, SBMA, KD, SMAX1, HYSP1
Systemic lupus erythematosus,  	TREX1, AGS1, CRV, HERNS, RVCLS
Thyroid cancer, nonmedullary, 1 	NKX2-1, TITF1, NKX2A, TTF1, NMTC1
Thyrotoxic periodic paralysis,  1 	CACNA1S, CACNL1A3, CCHL1A3, TTPP1, HOKPP1, MHS5
