Gene	pDN	pGOF	pLOF
ACSM5	0.673093908529548	0.59863522291915	0.401011703286425
ACSM6	0.691579102743442	0.562399045171736	0.349456883693911
ACSS1	0.722926315845869	0.64826915181258	0.307988482567707
ACSS2	0.677379037367662	0.638213052054206	0.321231339719439
ACSS3	0.692691664790483	0.616666371093029	0.375671674031488
ACTA1	0.808434624494461	0.604967887887538	0.323315883777905
ACTA2	0.566886445464957	0.341094536440997	0.673947526299065
ACTB	0.469502453538108	0.629775641302153	0.790347523837904
ACTBL2	0.746840479162456	0.328399825413427	0.432988362769373
ACTC1	0.695745787858614	0.497522332742546	0.526124365008073
ACTG1	0.700115810929141	0.532099492901721	0.305504076831005
ACTG2	0.818326478362062	0.595397294083798	0.322722947080815
ACTL10	0.736758315830824	0.654687497185825	0.277558265891419
ACTL6A	0.402556439452268	0.449937558634697	0.706840387334474
ACTL6B	0.736949144448706	0.676838576405362	0.331782362893439
ACTL7A	0.623915309491239	0.531778782530118	0.362804895808187
ACTL7B	0.585353790853086	0.534950606880424	0.358165551363224
ACTL8	0.498889222447772	0.406231487942736	0.391973404831515
ACTL9	0.724849871127341	0.609168323109452	0.299525598779896
ACTMAP	0.594654014891076	0.658769942917463	0.361691237281543
ACTN1	0.508532443162544	0.778518928943554	0.489497803377909
ACTN2	0.605066647672522	0.776094125547107	0.422218985740846
ACTN3	0.675796236475995	0.806456778620485	0.331801869453479
ACTN4	0.4335893543009	0.710400855362096	0.596791976310424
ACTR10	0.680192521811819	0.627189697928047	0.299012391568715
ACTR1A	0.450195110880708	0.44056363755126	0.634954932834897
ACTR1B	0.730876220685403	0.647669552642833	0.302259773429844
ACTR2	0.3309810081149	0.454876131850969	0.734049413526848
ACTR3	0.386903113390643	0.493615111081068	0.694479403825898
ACTR3B	0.488046876639208	0.476214969608056	0.634972490579321
ACTR3C	0.805925293589721	0.691683592079979	0.265333317549473
ACTR5	0.61277667912437	0.576230594631568	0.332132478150417
ACTR6	0.700881714987754	0.565598320371305	0.310114989531608
ACTR8	0.59203457021804	0.403466520608827	0.439442047118921
ACTRT1	0.695709038092192	0.439171959367309	0.26891089170526
ACTRT2	0.693957933519135	0.487693743951638	0.274636645577634
ACTRT3	0.701192652293417	0.485758975069052	0.333255247058329
ACVR1	0.55497817701975	0.647097854052902	0.481253630272487
ACVR1B	0.356902878486343	0.577104017747869	0.697797064990657
ACVR1C	0.719188763669228	0.717909628310839	0.328561214402137
ACVR2A	0.350979250143555	0.582204025627261	0.671441675736038
ACVR2B	0.528223650693756	0.6560317136729	0.550061757277703
ACVRL1	0.72151910171361	0.768424680362515	0.308363355396999
ACY1	0.703921912886466	0.647712401378838	0.269378799940592
ACY3	0.588394196435009	0.45981061498255	0.342580221262925
ACYP1	0.751642644830705	0.623713430956097	0.253598152942484
ACYP2	0.651599640847486	0.479553541069837	0.412224231741556
ADA	0.672449701671901	0.610897578907774	0.347557452791839
ADA2	0.73221674581805	0.603030391795752	0.225716352886849
ADAD1	0.614769152201189	0.471043466897299	0.382466085529321
ADAD2	0.503720513476036	0.510259712726634	0.450536793379955
ADAL	0.725865653623841	0.603400949679355	0.27648584331193
ADAM10	0.337490695913959	0.350676435176163	0.69854245942668
ADAM11	0.649083372572582	0.62900190424717	0.320327183599765
ADAM12	0.750062941718518	0.649585563511881	0.296633821513813
